iter	Passed	Remaining
0	140	139925
1	140	70078
2	140	46745
3	140	35081
4	141	28080
5	141	23424
6	141	20082
7	141	17574
8	141	15627
9	142	14064
10	142	12787
11	142	11726
12	142	10830
13	142	10063
14	143	9391
15	143	8807
16	143	8291
17	143	7842
18	144	7435
19	144	7068
20	144	6732
21	144	6427
22	144	6149
23	145	5897
24	145	5666
25	145	5450
26	145	5250
27	145	5063
28	146	4889
29	146	4728
30	146	4577
31	146	4436
32	146	4304
33	147	4180
34	147	4062
35	147	3952
36	147	3847
37	147	3745
38	148	3652
39	148	3560
40	148	3476
41	148	3394
42	149	3318
43	149	3242
44	149	3171
45	149	3104
46	149	3039
47	150	2977
48	150	2918
49	150	2859
50	150	2804
51	150	2750
52	151	2699
53	151	2650
54	151	2603
55	151	2557
56	151	2513
57	152	2469
58	152	2428
59	152	2387
60	152	2348
61	152	2310
62	152	2273
63	153	2238
64	153	2204
65	153	2171
66	153	2138
67	153	2106
68	153	2077
69	154	2048
70	154	2019
71	154	1991
72	154	1964
73	154	1938
74	155	1912
75	155	1887
76	155	1862
77	155	1838
78	155	1816
79	155	1793
80	156	1771
81	156	1750
82	156	1730
83	156	1709
84	156	1689
85	157	1670
86	157	1651
87	157	1633
88	157	1614
89	157	1595
90	158	1578
91	158	1562
92	158	1546
93	158	1530
94	158	1514
95	159	1497
96	159	1482
97	159	1467
98	159	1453
99	159	1438
100	159	1423
101	160	1410
102	160	1396
103	160	1383
104	160	1370
105	160	1356
106	161	1344
107	161	1331
108	161	1319
109	161	1307
110	161	1296
111	162	1284
112	162	1273
113	162	1262
114	162	1251
115	162	1240
116	163	1231
117	163	1221
118	164	1214
119	164	1204
120	164	1194
121	164	1184
122	164	1175
123	165	1166
124	165	1156
125	165	1147
126	165	1138
127	165	1130
128	166	1121
129	166	1113
130	166	1105
131	166	1096
132	166	1087
133	167	1079
134	167	1072
135	167	1064
136	167	1056
137	167	1049
138	168	1042
139	168	1034
140	168	1027
141	168	1020
142	169	1012
143	169	1005
144	169	998
145	169	991
146	169	985
147	169	978
148	170	971
149	170	965
150	170	959
151	170	953
152	171	946
153	171	940
154	171	934
155	171	928
156	171	923
157	172	917
158	172	911
159	172	905
160	172	900
161	172	894
162	173	889
163	173	883
164	173	878
165	173	872
166	173	867
167	174	862
168	174	857
169	174	851
170	174	847
171	174	842
172	175	837
173	175	832
174	175	828
175	176	824
176	176	820
177	176	815
178	176	811
179	177	806
